"Order","Family","sci_name","common_name","ebird_data","is_resident","why"
"PASSERIFORMES"," Passerellidae","Melospiza melodia","Song Sparrow","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Pipilo maculatus","Spotted Towhee","yes",FALSE,""
"PASSERIFORMES"," Motacillidae","Anthus spragueii","Sprague's Pipit","yes",FALSE,""
"PASSERIFORMES"," Corvidae","Cyanocitta stelleri","Steller's Jay","yes",TRUE,""
"PASSERIFORMES"," Turdidae","Catharus ustulatus","Swainson's Thrush","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Melospiza georgiana","Swamp Sparrow","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Leiothlypis peregrina","Tennessee Warbler","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Myadestes townsendi","Townsend's Solitaire","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga townsendi","Townsend's Warbler","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Tachycineta bicolor","Tree Swallow","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Tyrannus melancholicus","Tropical Kingbird","yes",FALSE,""
